Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
blca48_org,-0.005,-0.001,-0.012,-0.011,-0.035,-0.013,-0.025,-0.02,-0.048,-0.009,-0.003,-0.022,-0.005,-0.007,-0.023,-0.024,-0.026,0.001,0.006,-0.022,-0.027,-0.019,-0.015,-0.01,NA,-0.014,NA,-0.017,NA,-0.023,0.029,-0.017,0.008,0.012,-0.024,-0.04,0.029,0.025,-0.048,-0.025,0.017,-0.005,0.01,0.007,0.13,0.122
blca48_tum,-0.039,-0.053,-0.036,-0.049,-0.054,-0.022,-0.077,-0.087,0.027,-0.031,-0.03,-0.066,0.023,-0.004,-0.056,-0.013,0.155,0.035,-0.002,-0.061,-0.027,-0.032,0.003,-0.022,NA,-0.064,NA,-0.027,NA,-0.062,0.023,-0.006,-0.001,0.014,0.003,-0.017,0.048,0.015,-0.052,0.004,-0.048,-0.054,-0.023,-0.003,0.118,0.111
blca50_tum,-0.011,0.466,0.101,0.051,-0.116,0.08,-0.393,-0.468,-0.13,-0.264,0.329,0.072,-0.143,-0.095,0.097,0.046,-0.061,-0.624,-0.185,-0.539,-0.172,-0.144,0.567,0.021,NA,-0.134,NA,-0.689,NA,0.072,0.014,-0.126,0.42,0.397,-0.002,-0.012,-0.048,0.032,0.082,0.449,0.269,0.277,-0.221,-0.196,1.04,0.238
blca50b_org,-0.105,0.542,0.108,0.03,-0.187,0.089,-0.443,-0.528,-0.247,-0.322,0.339,0.066,-0.213,-0.26,0.089,-0.027,-0.217,-0.761,-0.372,-0.808,-0.16,-0.211,0.588,0.139,NA,-0.292,NA,-0.799,NA,0.084,0.001,-0.152,0.462,0.43,0.113,0.075,-0.21,0.019,-0.012,0.399,0.339,0.365,-0.27,-0.233,1.123,0.282
blca57_org,-0.003,-0.024,-0.014,-0.019,-0.374,-0.031,-0.023,-0.037,-0.038,-0.028,-0.016,-0.041,0.001,-0.002,-0.014,-0.034,-0.901,-0.788,-0.022,-0.014,-0.011,-0.019,-0.023,-0.021,NA,-0.033,NA,-0.009,NA,-0.02,0.058,0.012,0.021,0.026,-0.031,-0.049,0.112,0.08,-0.034,-0.014,-0.006,-0.002,0.077,0.04,0.101,0.058
blca57_tum,0.01,-0.035,-0.034,-0.034,-0.311,-0.044,-0.037,-0.055,-0.065,-0.034,-0.002,-0.046,-0.036,-0.057,-0.063,-0.056,-0.741,-0.662,-0.054,-0.02,-0.021,-0.023,-0.033,-0.039,NA,-0.042,NA,-0.031,NA,-0.021,-0.023,-0.029,0.001,0.047,-0.061,-0.055,0.027,-0.015,-0.032,0.0,-0.033,-0.008,-0.105,0.059,-0.003,-0.046
blca60_org,-0.024,0.032,-0.045,-0.053,-0.063,-0.03,-0.028,-0.016,-0.001,-0.055,-0.047,-0.045,-0.013,-0.001,-0.909,0.521,-0.029,-0.03,-0.019,-0.051,-0.035,-0.032,0.001,-0.022,NA,-0.01,NA,-0.019,NA,-0.018,0.008,-0.03,-0.019,-0.012,-0.005,-0.025,0.059,0.084,-0.033,-0.026,0.035,0.009,0.0,-0.002,0.102,0.09
blca60_tum,-0.014,-0.012,-0.029,-0.027,-0.037,-0.027,-0.034,-0.02,-0.031,-0.023,-0.021,-0.03,-0.014,0.004,-0.932,0.527,0.028,0.015,-0.012,-0.024,-0.018,-0.02,0.0,-0.015,NA,-0.02,NA,-0.02,NA,-0.017,0.022,-0.02,0.013,-0.003,-0.023,-0.031,0.076,0.043,-0.043,-0.034,-0.001,-0.02,-0.007,-0.016,0.101,0.087
blca61_org,-0.007,-0.008,-0.015,-0.019,-0.035,-0.017,-0.02,-0.014,-0.015,-0.018,-0.015,-0.026,0.001,0.012,-0.004,-0.021,-0.014,-0.827,-0.001,-0.052,-0.014,-0.009,0.008,-0.004,NA,-0.007,NA,-0.046,NA,-0.012,0.038,-0.006,0.031,0.001,-0.01,-0.019,0.083,0.051,-0.023,-0.017,0.02,0.001,0.006,0.006,0.11,0.104
blca61_tum,-0.01,-0.018,-0.022,-0.022,-0.034,-0.03,-0.025,-0.02,-0.019,-0.021,-0.016,-0.033,-0.005,-0.002,-0.018,-0.026,-0.023,-0.716,-0.004,-0.018,-0.026,-0.015,-0.007,-0.015,NA,-0.018,NA,-0.045,NA,-0.022,0.036,-0.011,0.025,0.004,-0.008,-0.035,0.083,0.042,-0.045,-0.022,-0.014,-0.016,0.0,-0.002,0.093,0.098
