Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
WCM392_T1,0.032,0.111,0.94,0.615,0.393,0.53,-0.07,0.262,0.611,0.47,0.542,0.5,0.907,0.94,-0.44,0.644,0.996,0.821,0.14,0.55,0.904,0.472,0.55,0.5,NA,1.221,NA,0.276,NA,0.563,0.04,0.04,0.011,0.554,0.05,-0.077,0.707,0.38,0.895,0.999,0.53,0.021,NA,0.03,0.49,0.755
WCM526_O1,-0.045,0.031,-0.09,-0.513,-1.024,0.253,0.078,-0.911,0.619,0.45,0.06,0.06,-0.74,-0.042,-0.784,0.267,-0.848,0.245,0.08,-0.512,-0.134,-0.03,0.08,0.08,NA,-0.24,NA,-0.999,NA,-0.09,-0.09,-0.09,-1.002,-0.05,-0.1,-0.1,-0.411,-0.03,-0.06,0.22,-0.11,-0.11,NA,-0.07,-0.02,-0.02
WCM526_O2,-0.014,0.104,-0.07,-0.496,-0.983,0.29,0.247,-0.873,0.65,0.65,0.08,0.08,-0.825,0.003,-0.752,0.275,-0.88,0.15,0.08,-0.518,-0.216,-0.084,0.09,0.09,NA,-0.03,NA,-1.065,NA,-0.06,-0.05,-0.05,-1.027,-0.03,-0.07,-0.07,-0.773,-0.109,-0.03,0.285,-0.06,-0.06,NA,-0.03,-0.03,-0.03
WCM526_O3,-0.028,-0.049,-0.07,-0.495,-0.985,0.29,-0.191,-0.853,0.62,0.15,0.08,0.08,-0.668,0.04,-0.74,0.264,-0.787,0.358,0.08,-0.499,-0.049,0.07,0.11,0.076,NA,-0.8,NA,-0.727,NA,-0.06,-0.09,-0.09,-1.028,-0.06,-0.09,-0.09,-0.254,-0.163,-0.02,0.261,-0.09,-0.09,NA,-0.06,-0.03,-0.03
WCM526_P1,-0.039,0.042,-0.1,-0.523,-1.032,0.28,-0.213,-0.834,0.31,0.31,0.07,0.07,-0.725,0.06,-0.785,0.271,-0.837,0.09,0.08,-0.512,-0.019,0.1,0.08,0.08,NA,-0.55,NA,-1.09,NA,-0.09,-0.06,-0.06,-1.011,-0.05,-0.1,-0.1,-0.223,-0.06,-0.04,0.226,-0.11,-0.11,NA,-0.05,-0.03,-0.03
WCM526_T1,-0.01,0.442,-0.01,-0.443,-0.971,0.36,0.298,-0.981,0.6,0.6,0.02,0.02,-0.748,0.02,-0.855,0.178,-0.917,0.0,0.03,-0.582,-0.084,0.03,0.03,0.03,NA,-0.01,NA,-1.06,NA,-0.02,0.01,0.01,-0.961,0.01,-0.06,-0.06,0.02,0.02,-0.01,0.305,-0.07,-0.07,NA,0.01,-0.03,-0.03
WCM601_O1,-0.052,-0.007,-0.04,-0.04,-0.06,-0.06,0.03,0.03,0.05,0.05,0.0,0.0,0.06,0.06,0.06,0.06,0.07,0.07,0.04,0.04,0.042,0.03,0.03,0.03,NA,0.03,NA,-0.06,NA,-0.05,-0.02,-0.02,-0.06,-0.06,-0.06,-0.06,0.06,0.053,0.0,0.0,-0.03,-0.03,NA,0.01,-0.08,-0.08
WCM601_O3,-0.049,-0.038,-0.03,-0.03,-0.04,-0.04,0.0,0.0,0.0,0.0,-0.08,-0.053,-0.01,-0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.01,0.011,-0.003,-0.048,-0.024,NA,0.01,NA,-0.05,NA,0.001,-0.03,-0.03,-0.09,-0.09,-0.01,-0.01,0.009,0.026,0.01,0.01,-0.01,-0.01,NA,0.0,-0.6,-0.6
WCM601_P1,-0.061,-0.031,-0.07,-0.07,-0.07,-0.07,0.01,0.01,0.04,0.04,-0.03,-0.03,0.03,0.03,0.04,0.04,0.01,0.029,0.04,0.04,0.051,0.04,0.02,0.02,NA,0.007,NA,-0.06,NA,-0.05,-0.02,-0.02,-0.06,-0.06,-0.1,-0.1,0.06,0.043,-0.02,-0.02,-0.04,-0.04,NA,0.04,0.06,0.06
WCM601_P2,-0.062,-0.037,-0.07,-0.07,-0.06,-0.06,0.01,0.01,0.04,0.04,-0.03,-0.03,0.04,0.04,0.02,0.02,0.01,0.027,0.04,0.04,0.016,0.01,0.02,0.02,NA,0.0,NA,-0.05,NA,-0.05,-0.03,-0.03,-0.08,-0.08,-0.08,-0.08,0.07,0.02,-0.01,-0.01,-0.03,-0.03,NA,0.01,0.08,0.08
WCM601_T1,-0.08,-0.005,-0.06,-0.06,-0.06,-0.06,0.03,0.03,0.07,0.07,0.01,0.01,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.053,0.04,0.03,0.03,NA,0.05,NA,-0.08,NA,-0.07,-0.06,-0.06,-0.11,-0.11,-0.07,-0.07,-0.01,-0.008,-0.02,-0.02,-0.04,-0.04,NA,-0.03,-0.05,-0.05
WCM602_O1,-0.02,-0.02,0.55,0.55,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,0.55,0.55,-0.03,-0.03,-0.1,-0.1,-0.03,-0.03,-0.01,-0.01,-0.02,-0.02,NA,-0.03,NA,-1.0,NA,-0.02,0.53,0.53,0.504,0.521,0.0,0.0,-0.05,-0.05,0.54,0.54,-0.03,-0.03,NA,-0.99,-0.1,-0.1
WCM602_T1,-0.01,-0.01,0.85,0.85,0.02,0.02,0.0,0.0,-0.04,-0.04,-0.02,-0.02,0.52,0.52,-0.03,-0.03,-0.04,-0.04,-0.06,-0.06,-0.04,-0.04,0.72,0.72,NA,-0.02,NA,-2.39,NA,-0.01,0.82,0.82,0.83,0.83,0.12,0.12,-0.01,-0.01,0.86,0.86,-0.63,-0.63,NA,-0.94,0.01,0.01
WCM609_O1,0.572,0.575,0.406,0.435,0.022,0.893,0.724,0.146,1.57,0.855,0.898,0.47,0.623,0.977,1.43,1.43,1.183,0.889,-0.055,0.3,0.704,0.392,0.036,0.52,NA,-0.07,NA,0.5,NA,-0.024,0.45,0.839,0.871,0.881,0.47,0.47,0.486,0.453,1.25,1.25,0.49,0.49,NA,0.988,0.7,0.772
WCM609_T1,0.513,0.48,0.286,0.22,-0.055,0.869,0.402,0.174,1.285,0.738,0.968,0.493,0.94,0.899,1.38,1.38,1.086,0.79,-0.25,0.341,0.36,0.311,-0.014,0.47,NA,-0.13,NA,0.4,NA,-0.11,0.43,0.747,0.861,0.854,0.43,0.43,0.44,0.44,1.16,1.16,0.43,0.43,NA,0.735,0.81,0.793
WCM610_O1,0.451,0.95,0.52,0.682,-0.03,0.684,-0.484,-0.06,0.5,0.458,0.95,0.95,0.95,1.078,0.54,0.54,0.58,0.58,0.52,0.452,0.029,0.01,0.55,0.55,NA,0.904,NA,0.531,NA,-0.04,0.53,0.53,0.137,0.54,0.95,0.361,0.92,0.92,0.96,0.96,-0.01,-0.01,NA,-0.01,0.9,1.27
WCM610_T1,0.528,1.022,0.61,0.796,0.041,0.799,-0.386,0.09,0.61,0.55,1.04,1.04,1.01,1.152,0.62,0.62,0.62,0.62,0.61,0.478,0.032,0.06,0.61,0.61,NA,1.008,NA,0.621,NA,0.0,0.56,0.56,0.151,0.57,1.03,0.439,0.92,0.92,0.96,0.96,-0.04,-0.04,NA,-0.04,0.94,1.317
