Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
H001-TF,-0.105,-0.075,-0.109,-0.022,-0.089,-0.089,-0.141,-0.19,-0.135,-0.135,0.152,0.009,0.149,0.149,-0.335,0.568,-0.139,-0.127,-0.121,-0.121,-0.12,-0.107,0.095,0.131,NA,0.163,NA,-0.123,NA,-0.103,0.022,0.037,-0.063,0.243,-0.156,-0.156,-0.001,-0.001,-0.035,0.26,-0.09,-0.09,NA,-0.046,-0.237,-0.237
H001-TO,-0.226,-0.266,0.289,0.168,-0.277,0.208,-0.206,-1.05,-0.287,-0.025,0.3,-0.307,0.302,0.298,-1.02,0.275,-0.27,-0.251,-0.249,-0.249,-0.208,-0.146,0.311,0.311,NA,0.662,NA,-0.242,NA,-0.227,0.832,-0.186,-0.167,0.011,-0.265,-0.489,-0.118,-0.118,-0.247,0.309,-0.203,-0.203,NA,-0.13,-0.056,-0.74
H001-TOL,-0.346,-0.257,0.303,0.184,-0.264,0.277,-0.224,-1.148,-0.271,0.031,0.337,-0.282,0.28,0.28,-1.004,0.32,-0.248,-0.229,-0.249,-0.249,-0.252,-0.129,0.28,0.336,NA,0.674,NA,-0.221,NA,-0.215,0.736,-0.17,-0.155,-0.046,-0.276,-0.494,-0.165,-0.152,-0.227,0.353,-0.22,-0.22,NA,-0.129,-0.055,-0.411
H002-TF,0.001,0.001,-0.022,-0.022,-0.007,-0.007,-0.011,-0.011,-0.016,-0.016,-0.006,-0.006,-0.011,-0.014,-0.008,-0.008,-0.006,-0.006,-0.006,-0.006,-0.001,-0.001,0.005,0.005,NA,-0.017,NA,0.012,NA,0.003,0.019,0.019,0.014,0.014,-0.396,-0.298,0.041,0.041,0.004,0.004,0.007,0.007,NA,0.012,-0.005,-0.005
H002-TO,0.028,0.001,-0.063,-0.063,-0.025,-0.064,-0.077,-0.093,-0.061,-0.051,-0.049,-0.049,-0.053,-0.035,-0.082,-0.078,-0.05,-0.029,-0.036,-0.036,-0.039,-0.05,-0.015,-0.015,NA,-0.055,NA,-0.015,NA,-0.002,0.032,0.021,0.075,0.09,-0.703,-0.559,0.104,0.104,-0.005,-0.005,0.06,0.06,NA,0.097,-0.032,-0.032
H003-NO,0.016,-0.056,-0.057,-0.07,-0.059,-0.072,-0.069,-0.069,-0.075,-0.08,-0.052,-0.091,-0.078,-0.049,-0.054,-0.054,-0.051,-0.034,-0.04,-0.04,-0.024,-0.054,-0.081,-0.052,NA,-0.053,NA,-0.029,NA,-0.01,0.045,0.006,0.107,0.105,-0.104,-0.023,0.198,0.137,-0.045,-0.045,0.066,0.066,NA,0.065,-0.134,-0.134
H003-NOL,-0.008,-0.047,-0.053,-0.053,-0.058,-0.055,-0.047,-0.059,-0.046,-0.046,-0.048,-0.048,-0.049,-0.057,-0.06,-0.056,-0.042,-0.022,-0.05,-0.05,-0.054,-0.041,-0.016,-0.016,NA,-0.065,NA,-0.02,NA,-0.015,0.03,0.022,0.062,0.062,-0.047,-0.047,0.115,0.115,-0.017,-0.017,0.027,0.027,NA,0.063,-0.059,-0.059
H003-T1F,-0.096,-0.056,-0.052,-0.052,-0.037,-0.013,-0.131,-0.254,-0.104,-0.104,-0.061,-0.061,0.349,0.34,0.229,0.229,-0.084,-0.084,-0.056,-0.056,-0.193,-0.094,-0.072,-0.098,NA,0.418,NA,-0.622,NA,-0.037,-0.072,-0.003,-0.58,-0.03,-0.663,-0.663,0.025,0.039,-0.667,0.993,0.006,-0.366,NA,-0.055,0.33,0.33
H003-T1O,-0.102,-0.079,0.051,0.051,-0.25,0.086,-0.367,-0.382,-0.047,-0.079,-0.025,-0.093,0.747,0.444,-0.023,-0.017,-0.257,-0.231,-0.061,-0.061,-0.813,-0.493,0.023,-0.02,NA,0.691,NA,-0.862,NA,0.007,-0.19,0.028,-0.689,-0.329,-0.906,-0.906,0.129,0.129,-0.89,1.29,-0.374,-0.672,NA,-0.181,0.478,0.478
H003-T1OL,-0.304,-0.292,0.087,0.087,0.044,0.02,-0.398,-0.412,0.079,0.079,0.071,0.01,0.661,0.468,0.075,0.081,-0.298,-0.272,-0.039,-0.044,-0.612,-0.413,-0.268,-0.285,NA,0.635,NA,-0.808,NA,-0.021,-0.216,0.026,-0.193,-0.179,-0.869,-0.869,0.277,0.277,-0.848,1.133,-0.034,-0.752,NA,-0.166,0.336,0.336
H003-T2O,0.075,0.1,0.135,0.097,0.122,0.087,-0.317,-0.341,-0.288,-0.288,0.116,0.02,0.655,0.658,0.087,0.093,0.122,0.161,0.081,-0.078,-0.817,-0.764,-0.299,-0.222,NA,0.756,NA,-0.772,NA,-0.032,-0.146,-0.179,-0.699,-0.587,-0.85,-0.85,-0.174,-0.1,-0.816,0.84,0.104,-0.689,NA,-0.588,0.385,0.385
H005-NO,0.024,-0.018,-0.051,-0.04,-0.063,-0.056,-0.048,-0.062,-0.064,-0.067,-0.041,-0.082,-0.061,-0.001,-0.066,-0.061,-0.046,-0.033,-0.025,-0.025,-0.016,-0.035,-0.017,-0.02,NA,-0.031,NA,-0.009,NA,-0.003,0.052,-0.008,0.083,0.076,-0.101,-0.019,0.115,0.115,-0.097,-0.028,0.042,0.042,NA,0.045,-0.267,-0.243
H005-NOL,0.001,-0.012,-0.025,-0.025,-0.024,-0.024,-0.024,-0.024,-0.023,-0.023,-0.02,-0.02,-0.023,-0.023,-0.027,-0.03,0.0,-0.006,-0.025,-0.025,-0.026,-0.02,-0.016,-0.016,NA,-0.022,NA,-0.012,NA,0.002,-0.013,-0.002,0.007,0.007,-0.036,-0.036,0.038,0.053,-0.016,-0.016,-0.018,-0.018,NA,0.013,-0.154,-0.154
