Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
MSKPCa16_ORG,-0.117,0.18,-0.057,-0.064,-0.0,0.281,0.452,0.034,0.375,-0.255,0.295,0.042,-0.059,-0.03,0.254,0.283,0.297,0.316,-0.287,-0.179,-0.449,-0.148,0.088,-0.056,NA,-0.418,NA,0.031,NA,-0.316,-0.126,-0.113,-0.076,-0.09,-0.5,-0.26,-0.096,-0.16,0.178,0.147,NA,-0.196,NA,-0.006,0.341,0.347
MSKPCa8_ORG,-0.097,0.091,0.375,-0.297,0.055,0.373,-0.403,-0.403,0.498,0.005,-0.236,-0.116,0.63,0.633,-0.273,0.091,0.278,0.247,0.328,-0.188,-0.149,-0.149,0.05,-0.306,NA,-0.496,NA,0.317,NA,-0.513,0.389,-0.23,-0.047,-0.089,-0.143,-0.023,-0.042,0.211,0.35,0.603,NA,-0.026,NA,-0.421,0.566,0.227
MSKPCa11_ORG,-0.027,0.496,0.116,0.116,0.054,0.396,-0.52,0.178,-0.592,-0.058,0.011,-0.223,0.142,0.142,-0.321,1.019,0.087,0.087,-0.433,0.005,0.109,0.109,0.038,0.086,NA,-0.59,NA,0.544,NA,-0.046,0.024,-0.007,-0.428,0.096,0.108,-0.311,-0.021,-0.021,-0.512,0.274,NA,0.073,NA,0.082,0.167,0.199
MSKPCa12_ORG,-0.05,0.246,0.412,0.114,0.039,0.433,-0.381,-0.381,0.424,0.374,-0.416,0.025,0.72,0.068,-0.439,0.578,-0.677,0.061,0.215,0.222,-0.422,-0.422,0.458,-0.223,NA,-0.37,NA,0.359,NA,0.088,0.155,0.158,-0.387,-0.09,-0.362,-0.362,-0.546,-0.546,0.086,0.431,NA,-0.073,NA,0.577,-0.307,0.414
MSKPCa10_ORG,0.164,0.214,0.188,-0.138,0.203,0.309,-0.715,0.095,0.196,0.067,0.594,-0.085,0.003,0.251,0.162,0.128,-0.267,-0.508,-0.459,-0.673,0.11,-0.209,-0.059,0.162,NA,-0.124,NA,0.178,NA,0.151,-0.788,-0.674,0.233,0.233,0.203,0.203,0.568,-0.101,0.227,0.458,NA,0.039,NA,-0.718,0.059,0.169
MSKPCa13_ORG,-0.094,-0.094,0.244,0.243,-0.061,-0.077,-0.445,-0.209,0.444,-0.068,-0.181,-0.161,0.225,0.225,-0.203,0.837,-0.05,-0.05,-0.129,-0.129,0.253,0.286,-0.635,0.292,NA,-0.066,NA,-0.133,NA,-0.121,-0.07,-0.392,-0.624,0.05,0.247,-0.569,-0.017,0.109,0.243,0.243,NA,0.088,NA,-0.031,0.466,0.308
MSKPCa9_ORG,0.143,0.236,0.116,-0.211,0.114,0.484,-0.121,0.06,-0.191,0.183,0.051,0.071,0.1,0.1,-0.544,0.537,-0.006,0.064,0.082,-0.193,0.09,-0.237,-0.351,0.027,NA,-0.008,NA,-0.151,NA,0.121,0.14,-0.773,-0.134,0.154,0.135,-0.534,0.16,0.076,-0.462,0.135,NA,0.1,NA,0.205,0.087,0.301
MSKPCa14_ORG,0.128,0.207,0.156,0.162,0.216,0.216,0.214,0.214,0.209,0.054,-0.478,-0.127,0.195,0.195,-0.126,0.622,0.195,0.195,0.155,0.155,0.18,0.18,-0.709,-0.193,NA,-0.1,NA,0.191,NA,-0.511,0.129,0.129,-0.273,0.17,0.188,0.188,0.115,0.036,0.179,0.179,NA,0.171,NA,-0.81,0.205,0.205
MSKPCa15_ORG,-0.365,0.45,0.203,-0.084,0.442,0.151,-0.19,-0.506,-0.135,0.088,-0.423,0.106,0.225,-0.056,-0.171,0.11,0.063,-0.043,-0.369,-0.383,0.158,0.018,-0.003,0.113,NA,-0.152,NA,-0.226,NA,0.091,-0.178,-0.235,-0.046,0.48,-0.336,-0.526,0.26,0.447,-0.306,0.836,NA,0.149,NA,-0.003,0.244,0.093
MSKPCa17_ORG,0.126,0.113,0.45,0.027,-0.212,0.022,0.051,-0.338,0.387,0.433,0.064,-0.131,-0.393,0.552,-0.143,0.339,0.227,0.454,0.154,-0.121,0.25,0.159,-0.042,0.118,NA,-0.424,NA,0.286,NA,-0.251,0.347,0.156,0.245,0.126,-0.442,-0.442,-0.284,-0.101,-0.368,0.569,NA,-0.326,NA,0.066,-0.454,0.336
MSKPCa19_ORG,-0.668,0.344,-0.163,-0.14,0.16,0.891,0.072,-0.857,0.0,-0.071,-0.196,0.012,0.151,-0.261,-0.664,0.671,-0.354,0.061,-0.853,0.103,-0.142,0.06,0.507,0.179,NA,-0.949,NA,-0.296,NA,-0.39,-0.146,-0.549,-0.893,-0.304,0.758,-0.805,0.061,0.061,0.124,-0.272,-0.663,-0.57,NA,-0.137,NA,NA
MSKPCa18_ORG,0.002,0.096,0.15,0.073,0.06,0.074,0.499,-0.13,0.077,-0.298,-0.534,-0.722,0.909,0.878,-0.323,0.533,-0.954,-0.284,-0.49,-0.283,-0.364,0.058,-0.462,0.003,NA,-0.403,NA,-0.384,NA,-0.179,0.313,0.201,-0.383,-0.307,0.297,0.263,-0.262,-0.262,0.529,0.529,0.013,0.022,NA,-0.061,NA,NA
MSKPCa20_ORG,-0.701,0.512,-0.071,-0.219,-0.225,-0.216,-0.638,-0.183,0.236,-0.763,-0.095,-0.012,-0.561,0.651,0.283,0.567,-0.323,-0.323,0.536,0.32,-0.793,-0.249,0.226,-0.287,NA,-0.834,NA,-0.071,NA,-0.169,-0.123,-0.188,-0.074,-0.12,-0.297,-1.2,-0.082,-0.082,-0.136,-0.136,-0.041,-0.041,NA,-0.15,NA,NA
MSKPDX10a_MET,0.058,0.099,0.004,-0.034,0.068,0.059,0.275,-0.159,0.121,0.032,-0.342,-0.488,0.811,0.811,-0.094,0.371,-0.361,-0.246,-0.339,-0.275,-0.406,0.043,-0.392,-0.044,NA,-0.606,NA,-0.2,NA,-0.334,0.014,0.014,0.174,0.174,0.392,0.338,-0.067,-0.067,0.398,0.398,NA,-0.022,NA,-0.207,0.635,0.635
MSKPDX16b_MET,0.077,0.194,0.091,-0.153,0.602,0.478,-0.098,0.565,-0.428,-0.065,0.267,0.316,0.047,0.125,-0.946,2.232,0.348,0.481,0.394,0.394,0.055,0.922,-0.254,0.34,NA,-0.827,NA,0.589,NA,-0.45,0.175,-0.351,-0.69,-0.034,-0.285,-0.285,-0.225,-0.581,0.216,0.216,0.328,0.328,NA,-0.315,NA,NA
MSKPCa1_ORG,-0.104,-0.13,-0.588,0.038,-0.253,0.367,-0.074,-0.08,0.568,-0.366,0.495,0.195,-0.067,-0.078,-0.062,0.606,0.167,0.027,-0.086,-0.123,-0.058,-0.078,-0.097,-0.079,NA,0.009,NA,0.569,NA,-0.079,-0.114,-0.252,0.045,0.349,-0.076,-0.816,-0.162,0.271,-0.803,0.339,-0.708,-0.117,NA,-0.094,NA,NA
MSKPCa2_ORG,-0.4,-0.0,-0.004,-0.19,0.039,0.05,-0.353,-0.175,0.312,-0.035,-0.003,-0.133,0.337,0.294,-0.953,0.601,0.027,-0.033,-0.387,-0.193,0.306,-0.119,0.051,0.122,NA,-0.374,NA,-0.212,NA,0.006,-0.19,-0.054,-0.433,-0.425,-0.375,-0.375,0.123,0.321,0.306,0.265,-0.22,0.007,NA,-0.402,NA,NA
MSKPCa3_ORG,-0.27,0.012,0.014,-0.107,0.188,0.234,0.025,0.025,0.278,0.062,-0.047,0.035,0.443,0.014,-0.482,0.03,0.306,0.221,0.021,-0.45,0.23,0.24,-0.362,-0.106,NA,-0.648,NA,-0.065,NA,-0.307,-0.034,-0.079,-0.401,-0.055,0.065,0.077,-0.111,-0.104,0.272,0.276,-0.466,-0.01,NA,-0.305,NA,NA
MSKPCa4_ORG,0.07,0.369,-0.023,-0.003,-0.334,-0.369,0.044,-0.131,-0.022,-0.194,-0.085,-0.306,0.222,0.356,0.172,0.843,-0.376,0.042,0.012,-0.222,-0.34,-0.353,-0.048,0.05,NA,0.102,NA,0.6,NA,-0.126,-0.371,-0.699,0.016,0.302,0.615,-0.136,-0.026,-0.032,-0.355,0.086,0.06,0.298,NA,0.037,NA,NA
